Municipi,Província,% Bonificació,Vigència de l'ordenança (anys),Any,Enllaç
Aguilar de Segarra,Barcelona,"50,00%",5,2020,https://bop.diba.cat/scripts/fhttp://cido.diba.cat/normativa_local/8859572/ordenanca-per-a-la-promocio-de-les-installacions-dautoconsum-amb-energia-fotovoltaica-ajuntament-daguilar-de-segarra
Aiguaviva,Girona,"50,00%",5,2020,https://ssl4.ddgi.cat/bopV1/pdf/2019/191/201919107665.pdf
Artés,Barcelona,"50,00%",10,2018,http://www.artes.cat/ajuntament/ordenances-i-reglaments
Avinyó,Barcelona,"50,00%",1,2020,http://www.avinyo.cat/seu-electronica/165-ordenances-fiscals/
Badalona,Barcelona,"50,00%",4,2020,https://www.seu-e.cat/documents/1416150/8054982/OF_1_IBI_2018/55fe04e3-0556-497f-9cec-e9baec8a35c4
Balenyà,Barcelona,"50,00%",5,2020,http://www.balenya.cat/documents/OF_01_IBI_pdf
Barcelona,Barcelona,"50,00%",3,2020,https://.barcelona.cat/hisenda/sites/default/files/OF20.1.1.pdf
Cabrils,Barcelona,"50,00%",4,2020,https://bop.diba.cat/temp/12_022019022407.pdf
Calaf,Barcelona,"30,00%",5,2020,https://bop.diba.cat/temp/12_022019022916.pdf
Calafell,Tarragona,"50,00%",3,2020,http://calafell.cat/sites/default/files/2018-12/ordenances_fiscals_2018.pdf
Caldes de Malavella,Girona,"50,00%",5,2020,https://caldesdemalavella.cat/images/pdf/ordenances/2020/TEXT_REFOS_ORDENANCES_FISCALS_2020.pdf
Callús,Barcelona,"50,00%",5,2020,https://www.seu-e.cat/ca/web/callus/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals
Cardona,Barcelona,"30,00%",2,2020,https://www.seu-e.cat/ca/web/cardona/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals
Cassà de la Selva,Girona,"50,00%",5,2020,https://seu.cassa.cat/ofiscals/O.F.%20N%C3%BAm.%2001%20Impost%20Sobre%20B%C3%A9ns%20Immobles.pdf
Castelldefels,Barcelona,"50,00%",5,2020,https://www.castelldefels.org/es/doc_generica.asp?dogid=45&ver=2020
Celrà,Girona,"25,00%",1,2020,https://www.celra.cat/ajuntament/documents/2020/ordenances/of02.pdf
Cerdanyola del Vallès,Barcelona,"50,00%",3,2020,https://www.cerdanyola.cat/sites/default/files/fitxers/ordenanca_num_01_2020.pdf
Cornellà de Llobregat,Barcelona,"10,00%",3,2020,http://www.cornella.cat/files/contenidos/Normativa/Normativa%20Fiscal/ORDENANCES%20FISCALS%202019.pdf
El Masnou,Barcelona,"50,00%",3 anys unifamiliar i 5 anys plurifamiliar compartida,2021,http://www.elmasnou.cat/informacio-oficial/normativa/ordenances-fiscals
El Prat de Llobregat,Barcelona,"50,00%",3,2020,https://seu.elprat.cat/siac/Publicacion_ver_doc.aspx?coddoc=GET13I61Q&id=8568
Folgueroles,Barcelona,"50,00%",5,2020,https://www.folgueroles.cat/-seu-electronica/informacio-oficial/ordenances-fiscals-prova/ordenances-fiscals-any-2018
Girona,Girona,"50,00%",5,2020,https://ssl4.ddgi.cat/bopV1/pdf/2019/246/2019246010334.pdf
Granollers,Barcelona,"50,00%",5,2020,https://seuelectronica.granollers.cat/portal/sede/RecursosWeb/DOCUMENTOS/1/0_4304_1.pdf
