id,codi_ine
0,8293
1,25186
2,43128
3,25126
4,25126
5,43159
6,17209
7,8082
8,25207
9,8127
10,8127
11,17152
12,17152
13,17152
14,17032
15,17032
16,17160
17,17182
18,17160
19,43162
20,8130
21,8130
22,8078
23,8183
24,8011
25,8103
26,8239
27,43905
28,17032
29,17032
30,17032
31,17032
32,17032
33,17032
34,17032
35,17032
36,17074
37,17032
38,17032
39,17032
40,17022
41,17160
42,17160
43,17160
44,17160
45,17160
46,43137
47,17152
48,17054
49,17054
50,17054
51,17054
52,17054
53,17054
54,17054
55,17054
56,17054
57,43099
58,17171
59,17102
60,17003
61,8085
62,8087
63,17054
64,17054
65,17054
66,17054
67,17054
68,17054
69,17054
70,17054
71,17054
72,17054
73,17032
74,17032
75,17032
76,17032
77,17032
78,17032
79,17160
80,43081
81,43088
82,43169
83,17041
84,17145
85,17105
86,8076
87,25233
88,8067
89,8172
90,25134
91,25912
92,25036
93,25131
94,43903
95,25211
96,25212
97,25226
98,43156
99,25046
100,25050
101,17054
102,17054
103,17054
104,17054
105,17054
106,17054
107,17054
108,43167
109,17054
110,17054
111,17054
112,17032
113,17032
114,17032
115,17032
116,17032
117,17032
118,17032
119,17032
120,17032
121,17032
122,17032
123,17032
124,17032
125,25127
126,25129
127,43105
128,8205
129,25121
130,25215
131,25227
132,8266
133,25051
134,8198
135,8306
136,8075
137,8257
138,8282
139,8126
140,8245
141,8194
142,8101
143,8015
144,8263
145,8019
146,8019
147,8019
148,8019
149,8019
150,43129
151,43145
152,43095
153,43095
154,8105
155,43095
156,17064
157,43109
158,43166
159,43144
160,43005
161,43161
162,43134
163,25208
164,17089
165,43083
166,43080
167,8305
168,8232
169,8114
170,8208
171,8236
172,8307
173,8006
174,8035
175,43054
176,8070
177,8132
178,25076
179,8132
180,8145
181,8132
182,8132
183,8144
184,25103
185,8209
186,8285
187,8280
188,8278
189,8275
190,43135
191,43174
192,43170
193,8084
194,8150
195,8131
196,25202
197,25202
198,17091
199,43146
200,17010
201,8279
202,17133
203,17149
204,43098
205,43043
206,43043
207,17160
208,25253
209,17136
210,17138
211,25222
212,17138
213,25251
214,25072
215,25223
216,43107
217,8185
218,25085
219,25141
220,25905
221,25905
222,25905
223,25142
224,25008
225,25194
226,17180
227,8012
228,17033
229,25177
230,25249
231,25250
232,25002
233,25034
234,25042
235,25060
236,25150
237,25172
238,25087
239,8110
240,25139
241,8155
242,25175
243,8261
244,17160
245,25248
246,25255
247,8041
248,17160
249,17160
250,17160
251,17160
252,17160
253,17160
254,8096
255,8210
256,8088
257,8284
258,8163
259,8005
260,17083
261,8086
262,8134
263,8156
264,8167
265,17140
266,17140
267,17140
268,17140
269,25140
270,25140
271,43036
272,8118
273,25238
274,43008
275,8040
276,25056
277,25081
278,25092
279,17218
280,8048
281,17123
282,17134
283,17019
284,8080
285,8021
286,25009
287,25165
